doc_id,sentence,pattern_type,matched_text,ai_similarity,impact_verbs,affected_entities,magnitudes,timeframes,sentence_length,domain,impact_type,primary_magnitude,sentiment_score
URL7,"The Impact of AI on the Job Market and Employment
Opportunities
 6 min read
Artificial intelligence (AI) is reshaping the modern job market in significant and complex ways.
",ECONOMIC_IMPACT,Impact,0.546065629,[],"['the', 'job', 'market', 'and', 'employment', '\n', 'opportunity', '\n ', '6']",['6'],[],35,economic,positive,6,0.570317745
URL7,"On one hand, AI and automation have replaced certain roles, particularly those involving repetitive
or routine tasks.",JOB_IMPACT,replaced,0.582454383,[],['ai'],['one'],[],21,employment,neutral,one,0.686885834
URL7,"It has paved the way for new roles —
like AI ethicist and machine learning engineer — that didn’t exist just a few years ago.
",TIMEFRAME,years,0.459459364,[],['ai'],[],[],29,general,positive,,0.909098685
URL7,"As AI continues to evolve, its impact on the workforce grows more profound.",ECONOMIC_IMPACT,impact,0.458663672,[],[],[],[],15,economic,positive,,0.88098675
URL7,"AI’s Role in Automating and Replacing Existing
Jobs
The capability of AI to automate tasks is a double-edged sword.",JOB_IMPACT,Replacing,0.565039873,['automate'],"['ai', '’s', 'role', 'in', 'automating', 'and', 'replace', 'existing', '\n', 'jobs', '\n', 'the', 'ai']",[],[],25,employment,neutral,,0.688041091
URL7,"While it enhances operational
efficiency, it also raises concerns about AI causing unemployment.
",DEPENDENCY_ANALYSIS,N/A,0.409740031,['enhance'],"['ai', 'it', 'efficiency']",[],[],17,productivity,neutral,,0.512050569
URL7,"Earlier predictions, such as a 2013 study from the University of Oxford, speculated that nearly 47%
of US jobs could be automated by AI over the following two decades.",DEPENDENCY_ANALYSIS,N/A,0.471664965,['automate'],"['the', 'university', 'of', 'oxford', 'us', 'ai']","['2013', '47', 'two']",[],34,general,neutral,2013,0.837275028
URL7,"This prediction seems to have
been overstated, however, with more recent insights indicating that experts widely agree on how
AI serves as a tool to enhance worker efficiency rather than significantly disrupt employment rates,
as many fear.
",DEPENDENCY_ANALYSIS,N/A,0.448447645,['enhance'],['efficiency'],[],[],45,productivity,neutral,,0.754474342
URL7,This raises an important question: Which jobs will AI impact the most?On,ECONOMIC_IMPACT,impact,0.567088246,[],['ai'],[],[],13,economic,neutral,,0.840055466
URL7,"•Banking and insurance: AI is streamlining banking by automating paperwork,
speeding up issue resolution, and improving customer service.",DEPENDENCY_ANALYSIS,N/A,0.528215766,"['automate', 'improve']","['ai', 'paperwork', 'service']",[],[],23,general,positive,,0.706607759
